name, id, father_name, mother_name, grand_father_name
シャドウディーヴァ, 2016104791, ハーツクライ, ダイヤモンドディーバ, Dansili
キングオブコージ, 2016104376, ロードカナロア, ファイノメナ, Galileo
ダノングッド, 2012105586, Elusive Quality, マイグッドネス, Storm Cat
ジンクライシス, 2001110234, Subordination, デアリングヴァース, Opening Verse
モルトベーネ, 2012106253, ディープスカイ, ノーブルエターナル, アフリート
マイネルレオーネ, 2012103532, ステイゴールド, ウェンブリー, サッカーボーイ
ダブルシャープ, 2015100887, ベーカバド, メジロルーシュバー, アグネスタキオン
オースミダイナー, 1988105984, ギャロップダイナ, タケノパール, ミンシオ
スノーフェアリー, 2007190001, Intikhab, Woodland Dream, Charnwood Forest
マイネルプロンプト, 2012100683, マツリダゴッホ, コスモクラッベ, マイネルラヴ
トゥラヴェスーラ, 2015104364, ドリームジャーニー, ジャジャマーチャン, アドマイヤコジーン
マイネルオフィール, 2012104504, ゴールドアリュール, アガルタ, キングカメハメハ
モジアナフレイバー, 2015105676, バトルプラン, ナスケンアイリス, フレンチデピュティ
サトノタイガー, 2008102951, キングカメハメハ, ファビラスターン, サンデーサイレンス
レジェンドハンター, 1997101950, サクラダイオー, サクラソフティー, サクラショウリ
エアアルマス, 2015110086, マジェスティックウォリアー, Nokaze, エンパイアメーカー
タイセイアベニール, 2015100822, ベーカバド, ハロードリーム, ブライアンズタイム
サミットストーン, 2008101041, ロージズインメイ, タイキアプローズ, Devil's Bag
トーヨーデヘア, 1997110097, デヒア, Canoodling, Cyane
フレアリングマズル, 1998106953, ホワイトマズル, ヤマノフレアリング, ホープフリーオン
セントリック, 1993101642, ミルコウジ, コトブキトミオー, プルラリズム
ジョーメテオ, 2006101140, ネオユニヴァース, ジョーセクレタリー, トニービン
ミツアキタービン, 2000105456, ライブリマウント, カネミタービン, スイフトスワロー
ユニコーンライオン, 2016110103, No Nay Never, Muravka, High Chaparral
ダノンザキッド, 2018104963, ジャスタウェイ, エピックラヴ, Dansili
ナムラクレア, 2019103753, ミッキーアイル, サンクイーンII, Storm Cat
エイティーンガール, 2016103143, ヨハネスブルグ, センターグランタス, アグネスタキオン
エビスライトオー, 1990106649, パーフライト, ウサスキー, マルゼンスキー
シルヴァーゼット, 2001110211, Foxhound, Krayyalei, Krayyan
ミッキーブリランテ, 2016104435, ディープブリランテ, エピックラヴ, Dansili
ウインカーネリアン, 2017101429, スクリーンヒーロー, コスモクリスタル, マイネルラヴ
サブノジュニア, 2014105019, サウスヴィグラス, サブノイナズマ, カコイーシーズ
タガノゴールド, 2011104995, ゴールドアリュール, アンテヴォルテ, ブライアンズタイム
ノブワイルド, 2012102358, ヴァーミリアン, コウエイベスト, アンバーシャダイ
ビッググラス, 2001104731, エルコンドルパサー, ドラゴンリリー, イブンベイ
タガノビューティー, 2017101719, ヘニーヒューズ, スペシャルディナー, スペシャルウィーク
ワキノカイザー, 2000101470, マヤノトップガン, サンデーエイコーン, サンデーサイレンス
ヒストリーメイカー, 2014102787, エンパイアメーカー, チヨノドラゴン, バブルガムフェロー
トーセンザオー, 2000105277, バブルガムフェロー, アニーブラウン, ノーザンテースト
ラヴィングアンサー, 2014103751, ダイワメジャー, ラブレター, ロックオブジブラルタル
テルツェット, 2017105607, ディープインパクト, ラッドルチェンド, Danehill Dancer
スタニングローズ, 2019105565, キングカメハメハ, ローザブランカ, クロフネ
ラプタス, 2016106263, ディープブリランテ, エアラホーヤ, ボストンハーバー
バティスティーニ, 2013106012, キングカメハメハ, バプティスタ, サンデーサイレンス
グレートタイム, 2015104571, キングカメハメハ, ミラクルレジェンド, フジキセキ
カツジ, 2015105461, ディープインパクト, メリッサ, ホワイトマズル
クリノガウディー, 2016103690, スクリーンヒーロー, クリノビリオネア, ディアブロ
ザダル, 2016104772, トーセンラー, シーザシー, Lemon Drop Kid
アフリカンゴールド, 2015101654, ステイゴールド, ブリクセン, Gone West
ディープサマー, 2002105358, タイキシャトル, チカリー, Sadler's Wells
フルデプスリーダー, 2017102175, ヘニーヒューズ, ファーストチェア, ジャングルポケット
ケイティクレバー, 2015104582, ハービンジャー, モルトフェリーチェ, ディープインパクト
タイセイトレイル, 2015105008, ハーツクライ, マザーウェル, シンボリクリスエス
マイネルヨース, 1988106319, パークリージェント, フレーミングレッド, マルゼンスキー
ベラミロード, 1996104906, アレミロード, ベラミスキー, コリムスキー
ダノンファラオ, 2017105292, American Pharoah, クリスプ, El Corredor
キングスゾーン, 2002102150, キングヘイロー, マチスマリン, Al Nasr
アメージングレイス, 1991106562, ワカオライデン, ホリリボン, マイスワロー
ジェラルディーナ, 2018105081, モーリス, ジェンティルドンナ, ディープインパクト
メジロモネ, 1990104290, モガミ, レールデュタン, マルゼンスキー
タイギャラント, 1997105426, ロイヤルアカデミーII, タイバーバラ, Saratoga Six
アスクビクターモア, 2019104706, ディープインパクト, カルティカ, Rainbow Quest
ピークトラム, 2011104293, チチカステナンゴ, タッチザピーク, スペシャルウィーク
ヘリオス, 2016102370, オルフェーヴル, アンジュシュエット, フレンチデピュティ
ケイアイパープル, 2016100349, パイロ, アルヴェナ, Seeking the Gold
ライオンボス, 2015100416, バトルプラン, ウーマンインレッド, ステイゴールド
ショウナンバルディ, 2016102929, キングズベスト, バノヴィナ, Redoute's Choice
ビリーバー, 2015103875, モンテロッソ, デイドリーマー, ネオユニヴァース
ライトオンキュー, 2015101599, Shamardal, グレイトタイミング, Raven's Pass
ナショナルスパイ, 1994106001, ブライアンズタイム, スターシャイン, マルゼンスキー
ビアンフェ, 2017101832, キズナ, ルシュクル, サクラバクシンオー
ゲンパチルシファー, 2016101745, トゥザグローリー, ラブリイステラ, クロフネ
バイオスパーク, 2015103627, オルフェーヴル, ナナヨーティアラ, マイネルラヴ
デルマルーヴル, 2016103957, パイロ, カリビアンロマンス, コマンズ
テーオーロイヤル, 2018106545, リオンディーズ, メイショウオウヒ, マンハッタンカフェ
ホウオウアマゾン, 2018105192, キングカメハメハ, ヒカルアマランサス, アグネスタキオン
レインボーフラッグ, 2013105727, ジャングルポケット, レインボーシーカー, ダンスインザダーク
オーロラテソーロ, 2017110074, Malibu Moon, For Passion, Not for Love
ナミ, 1998106928, カコイーシーズ, センエツルビー, スイフトスワロー
エントシャイデン, 2015100635, ディープインパクト, ルシュクル, サクラバクシンオー
ジョープロテクター, 1994105542, ヘクタープロテクター, ジョーエスペランス, バンブーアトラス
キルロード, 2015101028, ロードカナロア, キルシュワッサー, サクラバクシンオー
オメガレインボー, 2016105537, アイルハヴアナザー, ワイキューブ, アグネスタキオン
タイムズアロー, 2008102658, タイムパラドックス, サンデーエイコーン, サンデーサイレンス
ヴァンドギャルド, 2016105067, ディープインパクト, スキア, Motivator
ホッコーメヴィウス, 2016102442, ダイワメジャー, ホッコーメモリー, ダンシングブレーヴ
カイザーミノル, 2016106232, ロードカナロア, ストライクルート, Smart Strike
セリフォス, 2019104462, ダイワメジャー, シーフロント, Le Havre
ディバインフォース, 2016104291, ワークフォース, ツクバビューティ, ゼンノロブロイ
ロードブレス, 2016102276, ダノンバラード, ミステリューズ, ナリタトップロード
メイショウカズサ, 2017106642, カジノドライヴ, プレシャスエルフ, コロナドズクエスト
ビッグドン, 2000102789, ブライアンズタイム, ドラゴンリリー, イブンベイ
サトノフラッグ, 2017105472, ディープインパクト, バラダセール, Not For Sale
ニューモニュメント, 2016105885, ヘニーヒューズ, アンナータ, アドマイヤムーン
アリーヴォ, 2018104960, ドゥラメンテ, エスメラルディーナ, Harlan's Holiday
カツゲキキトキト, 2013103863, スパイキュール, レイビスティー, キングカメハメハ
プリンスリターン, 2017100661, ストロングリターン, プリンセスプライド, マンハッタンカフェ
アンパサンド, 2004105545, フィガロ, アビエント, ウォーニング
ゼンノモトーレ, 1994109700, Devil's Bag, Strait Lane, Chieftain
ミスニューヨーク, 2017102936, キングズベスト, マンハッタンミート, マンハッタンカフェ
マジックリボン, 1993108815, マークオブディスティンクション, ホリリボン, マイスワロー
ボスジラ, 2016104635, ディープインパクト, ミスパスカリ, Mr. Greeley
マリアエレーナ, 2018100927, クロフネ, テンダリーヴォイス, ディープインパクト
ブラヴァス, 2016104729, キングカメハメハ, ヴィルシーナ, ディープインパクト
アルドーレ, 2015103217, オルフェーヴル, ティックルピンク, フレンチデピュティ
シャマル, 2018103528, スマートファルコン, ネイティヴコード, アグネスデジタル
モガミキッカ, 1988107732, トウショウボーイ, ラブリトウショウ, シルバーシャーク
シュテルングランツ, 2011104326, ステイゴールド, トゥースペシャル, Two Punch
ツルマルザムライ, 1996107220, アンバーシャダイ, ビクトリーダンス, ダンサーズイメージ
アロートゥスズカ, 1990101608, ニッポーテイオー, アロートウヘヴン, The Minstrel
アイアンバローズ, 2017105477, オルフェーヴル, パレスルーマー, Royal Anthem
ガロアクリーク, 2017102833, キンシャサノキセキ, ゴールドレリック, Kingmambo
タイキフラッシュ, 1991109924, Spend a Buck, Sudden Flash, Known Fact
ヒンドゥタイムズ, 2016104851, ハービンジャー, マハーバーラタ, ディープインパクト
ダンシングプリンス, 2016105282, パドトロワ, リトルブレッシング, バブルガムフェロー
キャプテンペリー, 2013109027, クロフネ, メイグレイス, ネオユニヴァース
サークルオブライフ, 2019106342, エピファネイア, シーブリーズライフ, アドマイヤジャパン
ブレイズアトレイル, 2009106384, ダイワメジャー, ラフィントレイル, エルコンドルパサー
アインアイン, 1997102319, パークリージェント, アインフローラ, ガロト
ビッグフリート, 1998104527, アフリート, リファールニース, Greinton
ダノンスプレンダー, 2016104231, ロードカナロア, メジロスプレンダー, シンボリクリスエス
ゴールドギア, 2015103452, ロードカナロア, ギンザボナンザ, ゼンノロブロイ
サクラアリュール, 2015105868, ゴールドアリュール, シロガネーゼカフェ, Gulch
タガノジンガロ, 2007104692, キングカメハメハ, タガノチャーリーズ, Saint Ballado
アーバンイェーガー, 2014102562, エンパイアメーカー, マイグリーン, ダンシングブレーヴ
トップサバトン, 2004104077, タヤスツヨシ, トップオブザスカイ, Skywalker
ルビーカサブランカ, 2017105582, キングカメハメハ, ムードインディゴ, ダンスインザダーク
サイタスリーレッド, 2013104088, ダノンシャンティ, ユメノラッキー, Salt Lake
フリーフリッカー, 2014100576, トランセンド, イコールパートナー, カリズマティック
エフテーサッチ, 1993101662, スイフトスワロー, ジョージマツカゼ, ミルジョージ
ピースワンパラディ, 2016103250, ジャングルポケット, クリアソウル, アグネスデジタル
スマートアペックス, 2017100540, ハーツクライ, スマートムービー, サクラバクシンオー
プレシャスブルー, 2014100063, ディープインパクト, オンワードミシェル, アンバーシャダイ
プルザトリガー, 1999102402, カコイーシーズ, カバリセプター, グランディ
ニシノデイジー, 2016103444, ハービンジャー, ニシノヒナギク, アグネスタキオン
クリノプレミアム, 2017103201, オルフェーヴル, ダンシングクイーン, Giant's Causeway
ヴェントヴォーチェ, 2017100434, タートルボウル, ランウェイスナップ, Distant View
サトノウィザード, 2016103107, ロードカナロア, ブロードストリート, アグネスタキオン
サントス, 1993105346, スプレンディドモーメント, コルコバード, ホスピタリテイ
メイショウミモザ, 2017106414, ハーツクライ, メイショウベルーガ, フレンチデピュティ
アードラー, 2014104841, シニスターミニスター, ハイジトウショウ, バブルガムフェロー
サンエムエックス, 1996104637, ビワハヤヒデ, ミスマルシゲ, ダンサーズイメージ
バレッティ, 2014105506, キングカメハメハ, ザレマ, ダンスインザダーク
ソフトフルート, 2017106583, ディープインパクト, ストロベリーフェア, Kingmambo
クラウンディバイダ, 2013103687, ダイワメジャー, インコンパス, Sadler's Wells
インペリアルマーチ, 2007103164, ネオユニヴァース, キョウエイマーチ, ダンシングブレーヴ
オセアグレイト, 2016101209, オルフェーヴル, ブルーダヌーブ, Bahri
シャア, 2006105771, ツルマルボーイ, ナックオフィス, ジェネラス
ドルフィンボーイ, 1991107555, ルイヴィルサミット, カネアザミ, バーバー
ラストドラフト, 2016105239, ノヴェリスト, マルセリーナ, ディープインパクト
オーソリティー, 1994103426, シンボリルドルフ, セントフォード, セントクレスピン
マリアズハート, 2016110152, シャンハイボビー, Maria's Dance, Maria's Mon
エイシンクリック, 2014103040, ルーラーシップ, エイシンサンサン, キャロルハウス
マテンロウオリオン, 2019100965, ダイワメジャー, パルテノン, キングカメハメハ
ベレヌス, 2017105269, タートルボウル, カフヴァール, デュランダル
ナムラカメタロー, 2016106161, ヨハネスブルグ, ナムラチアーズ, マンハッタンカフェ
サンライズホープ, 2017100988, マジェスティックウォリアー, オーパスクイーン, スペシャルウィーク
ゴールデンチェリー, 1994109648, Crafty Prospector, A Kiss for Luck, Reflected Glory
メイショウエイコウ, 2014103266, サマーバード, メイショウフクヒメ, バブルガムフェロー
ウォーターナビレラ, 2019102788, シルバーステート, シャイニングサヤカ, キングヘイロー
ニホンピロナーリー, 1989101262, タップオンウッド, ミスデルモント, ゲイルーザック
ライフアサヒ, 1991102096, ライフタテヤマ, アサヒロゼット, パーソロン
ディアマンミノル, 2017103174, オルフェーヴル, イソノスワロー, デヒア
メイショウテンゲン, 2016102192, ディープインパクト, メイショウベルーガ, フレンチデピュティ
オンユアマーク, 1998101561, ホワイトマズル, シュガーダディガール, Spend a Buck
アポロビビ, 2016103518, アポロキングダム, ウインドクラスト, スペシャルウィーク
シンプウライデン, 1994108773, ワカオライデン, キタノティアラ, マルゼンスキー
アンドヴァラナウト, 2018105020, キングカメハメハ, グルヴェイグ, ディープインパクト
サカモトデュラブ, 1993103520, デュラブ, サリアシンゲキ, サクラシンゲキ
アルーフクライ, 2014105509, ハーツクライ, シダクティヴリー, サンダーガルチ
シュリ, 2016100596, ハーツクライ, エーゲリア, Giant's Causeway
バビット, 2017103000, ナカヤマフェスタ, アートリョウコ, タイキシャトル
レシプロケイト, 2016103291, ダイワメジャー, アフェクショネット, Distorted Humor
フォワードカフェ, 2012103796, マンハッタンカフェ, ベストブート, Storm Boot
ウエノマルクン, 1999104222, サッカーボーイ, フラワーケープ, ヤマニンスキー
ルッジェーロ, 2015104347, キンシャサノキセキ, シルヴァーカップ, アルムタワケル
トーセンカンビーナ, 2016104990, ディープインパクト, カンビーナ, Hawk Wing
カイザーメランジェ, 2015105850, サクラオリオン, サクラジュレップ, サクラプレジデント
レーヌブランシュ, 2017102509, クロフネ, アンジュエ, アグネスタキオン
タイムトゥチェンジ, 1998101495, サンデーサイレンス, タイムトゥダンス, Nijinsky
ブラックバゴ, 2012104678, バゴ, ステイウィズユー, ステイゴールド
アシャカトブ, 2016105547, シニスターミニスター, ヴェリタスマリコ, キングカメハメハ
ヤマノファイト, 2015102248, エスポワールシチー, ケイアイリード, フォーティナイナー
タイムトゥヘヴン, 2018100184, ロードカナロア, キストゥヘヴン, アドマイヤベガ
ファストフォース, 2016102197, ロードカナロア, ラッシュライフ, サクラバクシンオー
ヴェルテックス, 2017105356, ジャスタウェイ, シーイズトウショウ, サクラバクシンオー
エアアドニス, 2002103544, エアダブリン, エアジャスミン, Known Fact
ケイアイターコイズ, 2016100546, キンシャサノキセキ, ケイアイデイジー, クロフネ
ショーム, 2015100348, エスポワールシチー, パイクーニャン, フレンチデピュティ
ヨーホーレイク, 2018105012, ディープインパクト, クロウキャニオン, フレンチデピュティ
インビジブルレイズ, 2014106335, ハーツクライ, クレバースプリント, サクラバクシンオー
トップウイナー, 2016102214, バゴ, トップアクトレス, テイエムオペラオー
ナミュール, 2019105213, ハービンジャー, サンブルエミューズ, ダイワメジャー
レッドヴェイロン, 2015104714, キングカメハメハ, エリモピクシー, ダンシングブレーヴ
レイナワルツ, 2000103611, ブラックタイアフェアー, レイナロバリー, ジェイドロバリー
タガノディアマンテ, 2016100527, オルフェーヴル, タガノレヴェントン, キングカメハメハ
エクレアスパークル, 2014106120, ハーツクライ, プリティカリーナ, Seeking the Gold
エアロロノア, 2017104685, キングカメハメハ, エアワンピース, ロックオブジブラルタル
ローザノワール, 2016103084, マンハッタンカフェ, ダノンスズラン, Awesome Again
シルヴァーソニック, 2016104946, オルフェーヴル, エアトゥーレ, トニービン
キョウヘイ, 2014102698, リーチザクラウン, ショウナンアネーロ, ダンスインザダーク
ブリッシュラック, 1999190016, ロイヤルアカデミーII, Wild Vintage, Alysheba
エヒト, 2017100464, ルーラーシップ, ヒーラ, ディープインパクト
スリーグランド, 2017103504, シニスターミニスター, プリモタイム, ブライアンズタイム
モエレトレジャー, 2001100205, トレジャーアイランド, イブキピンクレディ, ノーザンテースト
アンティシペイト, 2017105000, ルーラーシップ, アンチュラス, ディープインパクト
ギルデッドミラー, 2017105409, オルフェーヴル, タイタンクイーン, Tiznow
ルイボスゴールド, 1992109222, ホリスキー, コガネサクラ, Sovereign Red
ロードレガリス, 2015102390, ハーツクライ, レディマーメイド, Fusaichi Pegasus
ジュンライトボルト, 2017105396, キングカメハメハ, スペシャルグルーヴ, スペシャルウィーク
ヘイアンウインザー, 1995108919, Meadowlake, Explosive Girl, イクスプロウデント
シャイニーゲール, 2014101586, キングカメハメハ, クリスタルコースト, サンデーサイレンス
レオビヨンド, 2016102056, ダンカーク, ワタシマッテルワ, オレハマッテルゼ
メイショウテンスイ, 2017106084, ダンカーク, フラワーガイア, ゼンノロブロイ
シロニイ, 2014105947, キングカメハメハ, シラユキヒメ, サンデーサイレンス
イヴニングスキー, 1995100494, サクラロータリー, ベラミスキー, コリムスキー
ケンシンコウ, 2017103641, パイロ, マトゥリアルカ, クリプティックラスカル
マルヨフェニックス, 2004105271, エイシンサンディ, ビューティーエミ, ビーインボナンザ
